VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Aug-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/867,Monthly Fees RM,2000,STAAH
Sales,Aug-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/867,Monthly Google Listing,3000,STAAH
Sales,Aug-2023,Boomerang  Ashvem (C) - STAAH,Rb/ST/23-24/868,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Cabo Serai - STAAH,Rb/ST/23-24/869,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Cabo Serai - STAAH,Rb/ST/23-24/869,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Calangute Beach Resort - STAAH,Rb/ST/23-24/870,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Calangute Grande (Baba Hotels) - STAAH,Rb/ST/23-24/871,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Goa Electronics - STAAH,Rb/ST/23-24/872,Monthly Fees  B E,13500,STAAH
Sales,Aug-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/873,Monthly Fees C M,67500,STAAH
Sales,Aug-2023,Casa De Goa - STAAH,Rb/ST/23-24/874,Monthly Fees C M,6000,STAAH
Sales,Aug-2023,Casa De Goa - STAAH,Rb/ST/23-24/874,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Casa De Goa - STAAH,Rb/ST/23-24/874,Monthly Google Listing,2000,STAAH
Sales,Aug-2023,Casa Menezes - STAAH,Rb/ST/23-24/875,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,Casa Severina - STAAH,Rb/ST/23-24/876,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/877,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/878,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/879,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/879,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Cochichos Resort - STAAH,Rb/ST/23-24/880,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Coconut Creek - STAAH,Rb/ST/23-24/881,Booking Engine & C.M.S. (STAAH),3000,STAAH
Sales,Aug-2023,Coconut Creek - STAAH,Rb/ST/23-24/881,Monthly Google Listing,2500,STAAH
Sales,Aug-2023,Crystal Serenity - STAAH,Rb/ST/23-24/882,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/883,Monthly CM (1),4000,STAAH
Sales,Aug-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/883,Monthly BE (1),1000,STAAH
Sales,Aug-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/883,Monthly Google Listing  (1),1500,STAAH
Sales,Aug-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/883,Monthly Google Listing  (1),581,STAAH
Sales,Aug-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/884,Monthly Fees C M,5000,STAAH
