VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Dec-2023,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/1733,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1734,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Dec-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1734,Monthly Google Listing,2500,STAAH
Sales,Dec-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1735,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Dec-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1735,Monthly Fees RM,2000,STAAH
Sales,Dec-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1735,Monthly Google Listing,3000,STAAH
Sales,Dec-2023,Boomerang  Ashvem (C) - STAAH,Rb/ST/23-24/1736,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Cabo Serai - STAAH,Rb/ST/23-24/1737,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Cabo Serai - STAAH,Rb/ST/23-24/1737,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,Calangute Beach Resort - STAAH,Rb/ST/23-24/1738,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Calangute Grande (Baba Hotels) - STAAH,Rb/ST/23-24/1739,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Goa Electronics - STAAH,Rb/ST/23-24/1740,Monthly Fees  B E,15000,STAAH
Sales,Dec-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/1741,Monthly Fees C M,67500,STAAH
Sales,Dec-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/1741,Monthly Fees C M,7000,STAAH
Sales,Dec-2023,Casabela (C) - STAAH,Rb/ST/23-24/1742,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Casa De Goa - STAAH,Rb/ST/23-24/1743,Monthly Fees C M,6000,STAAH
Sales,Dec-2023,Casa De Goa - STAAH,Rb/ST/23-24/1743,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Casa De Goa - STAAH,Rb/ST/23-24/1743,Monthly Google Listing,2000,STAAH
Sales,Dec-2023,Casa Menezes - STAAH,Rb/ST/23-24/1744,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Dec-2023,Casa Salvador - STAAH,Rb/ST/23-24/1745,Monthly Fees C M,7500,STAAH
Sales,Dec-2023,Casa Severina - STAAH,Rb/ST/23-24/1746,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/1747,Monthly Fees C M,2500,STAAH
Sales,Dec-2023,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/1748,Monthly Fees C M,2500,STAAH
Sales,Dec-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/1749,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/1749,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Cochichos Resort - STAAH,Rb/ST/23-24/1750,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Coconut Creek - STAAH,Rb/ST/23-24/1751,Booking Engine & C.M.S. (STAAH),3000,STAAH
Sales,Dec-2023,Coconut Creek - STAAH,Rb/ST/23-24/1751,Monthly Google Listing,2500,STAAH
Sales,Dec-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1752,Monthly CM (1),4000,STAAH
Sales,Dec-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1752,Monthly BE (1),1000,STAAH
Sales,Dec-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1752,Monthly Google Listing  (1),1500,STAAH
Sales,Dec-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1753,Monthly Fees C M,5000,STAAH
Sales,Dec-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1753,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1753,Monthly Google Listing,1500,STAAH
Sales,Dec-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1754,Monthly Fees C M,6000,STAAH
Sales,Dec-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1754,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1754,Monthly Google Listing,1500,STAAH
Sales,Dec-2023,Devasthali - STAAH,Rb/ST/23-24/1755,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Dec-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1756,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Dec-2023,Eros Boutique - STAAH New,Rb/ST/23-24/1757,Monthly Fees C M,2500,STAAH
Sales,Dec-2023,Estrela Do Mar - STAAH,Rb/ST/23-24/1758,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Dec-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1759,Monthly Fees C M,5000,STAAH
Sales,Dec-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1759,Monthly Fees  B E,2500,STAAH
Sales,Dec-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1759,Monthly Fees RM,2500,STAAH
Sales,Dec-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1759,Monthly Google Listing,2500,STAAH
Sales,Dec-2023,Ginger Tree Anjuna - STAAH New,Rb/ST/23-24/1760,Monthly Fees C M,3000,STAAH
Sales,Dec-2023,Golden Tulip - STAAH,Rb/ST/23-24/1761,Monthly Fees C M,5000,STAAH
Sales,Dec-2023,Goveia Holiday Homes - STAAH New,Rb/ST/23-24/1762,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Graciano Cottages - STAAH,Rb/ST/23-24/1763,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/1764,Monthly Fees C M,3500,STAAH
