VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Jun-2023,Calangute Grande (Baba Hotels) - STAAH,Rb/ST/23-24/443,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Goa Electronics - STAAH,Rb/ST/23-24/444,Monthly Fees  B E,13500,STAAH
Sales,Jun-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/445,Monthly Fees C M,67500,STAAH
Sales,Jun-2023,Casa De Goa - STAAH,Rb/ST/23-24/446,Monthly Fees C M,6000,STAAH
Sales,Jun-2023,Casa De Goa - STAAH,Rb/ST/23-24/446,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Casa Menezes - STAAH,Rb/ST/23-24/447,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Jun-2023,Casa Salvador - STAAH,Rb/ST/23-24/448,Monthly Fees C M,7500,STAAH
Sales,Jun-2023,Casa Severina - STAAH,Rb/ST/23-24/449,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/450,Monthly Fees C M,2500,STAAH
Sales,Jun-2023,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/451,Monthly Fees C M,2500,STAAH
Sales,Jun-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/452,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/452,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Cochichos Resort - STAAH,Rb/ST/23-24/453,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Coconut Creek - STAAH,Rb/ST/23-24/454,Monthly Fees C M,3000,STAAH
Sales,Jun-2023,Coconut Creek - STAAH,Rb/ST/23-24/454,Monthly Google Listing,2500,STAAH
Sales,Jun-2023,Crystal Serenity - STAAH,Rb/ST/23-24/455,Monthly Fees C M,2500,STAAH
Sales,Jun-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/456,Monthly CM (1),4000,STAAH
Sales,Jun-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/456,Monthly BE (1),1000,STAAH
Sales,Jun-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/457,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/457,Monthly Fees  B E,2000,STAAH
