VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Oct-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/1300,Monthly Fees  B E,7000,STAAH
Sales,Oct-2023,Casa De Goa - STAAH,Rb/ST/23-24/1301,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,Casa De Goa - STAAH,Rb/ST/23-24/1301,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Casa De Goa - STAAH,Rb/ST/23-24/1301,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Casa Menezes - STAAH,Rb/ST/23-24/1302,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Oct-2023,Casa Severina - STAAH,Rb/ST/23-24/1303,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/1304,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/1305,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/1306,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/1306,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Cochichos Resort - STAAH,Rb/ST/23-24/1307,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Coconut Creek - STAAH,Rb/ST/23-24/1308,Booking Engine & C.M.S. (STAAH),3000,STAAH
Sales,Oct-2023,Coconut Creek - STAAH,Rb/ST/23-24/1308,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1309,Monthly CM (1),4000,STAAH
Sales,Oct-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1309,Monthly BE (1),1000,STAAH
Sales,Oct-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1309,Monthly Google Listing  (1),1500,STAAH
Sales,Oct-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1310,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1310,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1310,Monthly Google Listing,1500,STAAH
Sales,Oct-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1311,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1311,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1311,Monthly Google Listing,1500,STAAH
Sales,Oct-2023,Devasthali - STAAH,Rb/ST/23-24/1312,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Oct-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1313,Booking Engine & C.M.S. (STAAH),3500,STAAH
