VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Sept-2023,Bedrock Boutique Hostel - STAAH,Rb/ST/23-24/1080,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/1081,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1082,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Sept-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1082,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1083,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Sept-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1083,Monthly Fees RM,2000,STAAH
Sales,Sept-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1083,Monthly Google Listing,3000,STAAH
Sales,Sept-2023,Boomerang  Ashvem (C) - STAAH,Rb/ST/23-24/1084,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Cabo Serai - STAAH,Rb/ST/23-24/1085,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Cabo Serai - STAAH,Rb/ST/23-24/1085,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Calangute Beach Resort - STAAH,Rb/ST/23-24/1086,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Calangute Grande (Baba Hotels) - STAAH,Rb/ST/23-24/1087,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Goa Electronics - STAAH,Rb/ST/23-24/1088,Monthly Fees  B E,15000,STAAH
Sales,Sept-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/1089,Monthly Fees C M,67500,STAAH
Sales,Sept-2023,Casa De Goa - STAAH,Rb/ST/23-24/1090,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Casa De Goa - STAAH,Rb/ST/23-24/1090,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Casa De Goa - STAAH,Rb/ST/23-24/1090,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Casa Menezes - STAAH,Rb/ST/23-24/1091,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Casa Salvador - STAAH,Rb/ST/23-24/1092,Monthly Fees C M,7500,STAAH
Sales,Sept-2023,Casa Severina - STAAH,Rb/ST/23-24/1093,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/1094,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/1095,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/1096,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/1096,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Cochichos Resort - STAAH,Rb/ST/23-24/1097,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Coconut Creek - STAAH,Rb/ST/23-24/1098,Monthly Fees C M,3000,STAAH
Sales,Sept-2023,Coconut Creek - STAAH,Rb/ST/23-24/1098,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,Grand Inn Morjim - STAAH,Rb/ST/23-24/1099,Set Up C M,6000,STAAH
Sales,Sept-2023,Grand Inn Morjim - STAAH,Rb/ST/23-24/1099,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1100,Monthly CM (1),4000,STAAH
Sales,Sept-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1100,Monthly BE (1),1000,STAAH
Sales,Sept-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/1100,Monthly Google Listing  (1),1500,STAAH
Sales,Sept-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1101,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1101,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1101,Monthly Google Listing,1500,STAAH
Sales,Sept-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/1101,Monthly Google Listing,678,STAAH
Sales,Sept-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1102,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1102,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/1102,Monthly Google Listing,1500,STAAH
Sales,Sept-2023,Devasthali - STAAH,Rb/ST/23-24/1103,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Sept-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1104,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Sept-2023,Eros Boutique - STAAH New,Rb/ST/23-24/1105,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,Estrela Do Mar - STAAH,Rb/ST/23-24/1106,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1107,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1107,Monthly Fees  B E,2500,STAAH
Sales,Sept-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1107,Monthly Fees RM,2500,STAAH
Sales,Sept-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1107,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,Ginger Tree Anjuna - STAAH New,Rb/ST/23-24/1108,Monthly Fees C M,3000,STAAH
Sales,Sept-2023,Golden Tulip - STAAH,Rb/ST/23-24/1109,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Goveia Holiday Homes - STAAH New,Rb/ST/23-24/1110,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Graciano Cottages - STAAH,Rb/ST/23-24/1111,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/1112,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Granpa's Inn - STAAH,Rb/ST/23-24/1113,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/1114,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Hotel Avisha Residency - STAAH,Rb/ST/23-24/1115,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Hotel Calangute Towers - STAAH,Rb/ST/23-24/1116,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/1117,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/1117,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Iora Baga Beach - STAAH,Rb/ST/23-24/1118,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/1119,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/1119,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Hotel Mayura - STAAH,Rb/ST/23-24/1120,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/1121,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/1121,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Hotel Reemz - STAAH,Rb/ST/23-24/1122,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Hotel Rezo's - STAAH,Rb/ST/23-24/1123,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,I Love Bell Bottoms Pvt Ltd - STAAH,Rb/ST/23-24/1124,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Dempo River Sal Resort & Spa - STAAH,Rb/ST/23-24/1125,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1126,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1126,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1126,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,Jolan's Guest House - STAAH,Rb/ST/23-24/1127,Monthly Fees C M,2100,STAAH
Sales,Sept-2023,Kalki Resorts,Rb/ST/23-24/1128,Monthly Fees C M,3000,STAAH
