VCHTYPE,DATE,VCHSTATUSDATE,NARRATION,ENTEREDBY,CMPGSTIN,VOUCHERTYPENAME,PARTYLEDGERNAME,VOUCHERNUMBER,CMPGSTREGISTRATIONTYPE,CMPGSTSTATE,NUMBERINGSTYLE,VCHSTATUSVOUCHERTYPE,VCHSTATUSTAXUNIT,VCHENTRYMODE,EFFECTIVEDATE,ALTERID,MASTERID,VOUCHERKEY,VOUCHERRETAINKEY,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/215,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115106, 68027,193471096815760,66969,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Amour Resort - STAAH,Rb/ST/23-24/216,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115107, 68028,193471096815768,66973,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Andores Resort & Spa - STAAH,Rb/ST/23-24/217,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115108, 68029,193471096815776,66977,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Antares Beach Resort - STAAH,Rb/ST/23-24/218,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115109, 68030,193471096815784,66981,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/219,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115110, 68031,193471096815792,66985,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Athi Resort - STAAH,Rb/ST/23-24/220,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115111, 68032,193471096815800,66989,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Baga High Q - STAAH,Rb/ST/23-24/221,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115112, 68033,193471096815808,66993,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Bambolim Beach Resort - STAAH,Rb/ST/23-24/222,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115113, 68034,193471096815816,66997,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Bay 15 - STAAH (New),Rb/ST/23-24/223,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115114, 68035,193471096815824,67001,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Baywatch Resort - STAAH,Rb/ST/23-24/224,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115115, 68036,193471096815832,67005,,,0,0,,,0,0
