Office Expenses
Cash
Staah Hotel Software Private Limited
Get Google 1
Igst Input (23-24)
Tds Payable
Booking Engine&CMS (Staah) Expense1
Veto Corp
Hdfc Credit Card 6963
Hdfc Bank
Google Ad Cost
Staah Salaries
Dhanishta Trust
Office Rent
Cgst Input 23-24
Sgst Input 23-24
Printing & Stationery
Postage  & Courier Exps.
Google India Private Limited
Endurance International Group (India) Pvt. Ltd.
Face Book Ad Cost
Sachin Patil
Travelling & Conveyances
Advances Recoverable
Staff Welfare
Office Maintenance
Incentives Paid
Staah Expense
TD 50300776774626
Hostgator India
Domain and Hosting Expense II
Admin Salaries
Punjab National Bank
Website Development Salaries
Domain & Hosting Salary
ICICI Bank
Water II
Digital Media Salaries
Chirag Thakkar
Telephone Expense I
Esic  Account
Alcon Resort Holdings Private Limited II
Fees & Fines
Purohit Enterprise
ASHISH GOTI
Printing & Stationery - Interstate 18%
Lighterature Productions (OPC) Pvt. Ltd.
Photography Expenses 1
Repair & Maintenace
Appario Retail Pvt. Ltd (Karnataka)
Harddisk (Interstate 18%)
Adobe Systems Software Ireland Ltd
Bank Charges
Interpole Technologies Private Limited
CGST OUTPUT 22-23
SGST OUTPUT 22-23
Prarthana N Kudturkar
Divya Pai Vernekar
David Aguiar
HDFC Credit Card 1911 - Chelsea
Interest Paid on Loan
TD 50300783592720
Google Work Space
Face Book India Online Services Private Limited
Digital Media Expense I
Reimbursement Cost
Water
Electricity Charges
Employee Benefit Expenses
Dattaram Srijit B Naik
Jose Agnelo Desa
Domain and Hosting Expense
Diana Napociana Faria
Auctus System
TD 50300796290993
Industry Buying Monotaro Pvt Ltd
Printing & Stationery (Interstate 12%)
Igst Input 23-24 (12%)
CGST OUTPUT (23-24)
SGST OUTPUT (23-24)
WORK INDIA
SHIVLOK TRADING CO
Purchases 18% - Interstate
Handy Online Solutions Private Limited
Support Services
Dhanista Trust - Maintenance
Office Maintenance 1
Fd100000632
Theme Purchases
Rounded Off
ESIC A/C = 1
Buzz Retail India Private Limited
Ethernet Xpress India Pvt Ltd
Internet Charges I
TD 50300811334033
Digital and Branding Services
Reuel Raj
Photography Expenses
Sushma Raj
Priyasha Malhotra
Digital  Network Associates Pvt. Ltd
TD 50300816929561
STALLION IT SOLUTIONS AND SERVICES (C)
Aloysius DSouza
Fd669
Goveia Holiday Homes
Sheldon Rodrigues
TD 50300827080827
Savex Technologies Pvt Lrd
Office Equipments - 18% Interstate
Interest on Tds
Cocoblu Retail Limited (Karnataka)
Stationery (1) - 18%
Chowgule Education Society's
Gift Voucher Setup Expense
Gift Voucher Monthly Expense
SEO Work Charges
Lotus Feet
TD 50300843240530
Gsuite Email Ids Expense
Administative Expenses
Neil Patel
RETAILEZ PRIVATE LIMITED
Fd720
Stanley Thomas & Associates
Advances Paid for Services Etc
Hospedaria Abrige De Botelho - STAAH
Xpert Service Solution
Repairs and Maintenance (18%)
Appario Retail Pvt Ltd (Maharashtra)
Administrative Expenses (28%)
IGST Input 23-24 (28%)
Interest on Tds Paid
Water Deposit
Hotel Goan Heritage - STAAH
TD 50300858333987
Fd748
Website Charges
Facebook Management Fees
Google Management Fees
SHIVPARVATI BEVERAGES (Bailey Drinking Water)
Water (12%)
CGST Input 23-24 (12%)
SGST Input 23-24 (12%)
Fd766
Professional Fees Paid
TD 50300869868364
Green Valley Beach Resort - STAAH
Niranjan Ganpat Narake
Swaani Enterprise
Printing & Stationery - 18%
Goa Synergies Tyres
Repairs & Maintainence - 28%
CGST Input 23-24 (14%)
SGST Input 23-24 (14%)
Fd809
Magsons Supercentre
Staff Welfare - 6%
Sgst Input 22-23 (12%)
Commision Paid - 18%
TD 50300883696391
Netty Gritty
IGST OUTPUT (23-24)
Fd827
Fd845
Server Charges(Webspace)
ZOHO Corporation Private Limited (New)
Mobile Phone
Zoho Books Plan
TD 50300895667178

Cocoblu Retail Limited
ACCUPRINTS (Maharashtra)
Stationery (1) - 12%
Titan World
Purchases - 18%
Digital Media Expenses
Fd863
Content Expense for Website
Sancast Venture Pvt. Ltd
Earned Leave
Fd881
D N Vengurlekar & Associates
Interest Earned on FD'S
TD 50300912329178
Fd906
Costas Time Collection
CRM Software
Printing & Stationery 5%
IGST Input 5%
Mousepad (Interstate 18%)
