_id,PARTYLEDGERNAME
65d0f593a9f96d011aaf4ce8,Neelam's The Grand - STAAH
65d0f593a9f96d011aaf4ce9,Nilaya Hermitage 1 - STAAH
65d0f593a9f96d011aaf4cea,Nirvana Hill Resort - STAAH
65d0f593a9f96d011aaf4ceb,Pescador - Absolute Waterfront - STAAH
65d0f593a9f96d011aaf4cec,O Pierre - STAAH New
65d0f593a9f96d011aaf4ced,Ocean Suite (C) - STAAH
65d0f593a9f96d011aaf4cee,Oxel House - STAAH New
65d0f593a9f96d011aaf4cef,Phoenix Park Inn Resort - STAAH
65d0f593a9f96d011aaf4cf0,Pinto Rosario Square - Resort & Spa - STAAH
65d0f593a9f96d011aaf4cf1,Prainha Resort By The Sea - STAAH
65d0f593a9f96d011aaf4cf2,Okean De Goa (DeSol) - STAAH
65d0f593a9f96d011aaf4cf3,Radisson Goa Candolim - STAAH
65d0f593a9f96d011aaf4cf4,Rendezvous Beach Resort - STAAH (C)
65d0f593a9f96d011aaf4cf5,Resort De Alturas - STAAH
65d0f593a9f96d011aaf4cf6,Martins Siesta - STAAH
65d0f593a9f96d011aaf4cf7,Resort Rio - STAAH
65d0f593a9f96d011aaf4cf8,Resort The Lohias - STAAH
65d0f593a9f96d011aaf4cf9,Rio Boutique - STAAH
65d0f593a9f96d011aaf4cfa,Riva Beach Resort - STAAH
65d0f593a9f96d011aaf4cfb,Riva Gold Coast - STAAH
65d0f593a9f96d011aaf4cfc,Rivasa Resort - STAAH
65d0f593a9f96d011aaf4cfd,Rock Valley - STAAH
65d0f593a9f96d011aaf4cfe,Salcete Beach Resort - STAAH
65d0f593a9f96d011aaf4cff,Sandalwood Hotel & Retreat - STAAH
65d0f593a9f96d011aaf4d00,Sanskruti Quality Resort - STAAH
65d0f593a9f96d011aaf4d01,Santiago Beach Resort (Era) - STAAH
65d0f593a9f96d011aaf4d02,Sea Mist Resorts - STAAH
65d0f593a9f96d011aaf4d03,Sea Queen Beach Resort & Spa - STAAH
65d0f593a9f96d011aaf4d04,Sea Shell Villas - STAAH
65d0f593a9f96d011aaf4d05,Shanu's Seaside Inn - STAAH
65d0f593a9f96d011aaf4d06,Sibaya Beach Resort - STAAH
65d0f593a9f96d011aaf4d07,Silver Sands Hideaway - STAAH
65d0f593a9f96d011aaf4d08,Silver Sands Holiday Village - STAAH
65d0f593a9f96d011aaf4d09,Silver Sands Serenity - STAAH
65d0f593a9f96d011aaf4d0a,Silver Sands Sunshine - STAAH
65d0f593a9f96d011aaf4d0b,Sinq Properties - STAAH
65d0f593a9f96d011aaf4d0c,Sinq Properties - STAAH
65d0f593a9f96d011aaf4d0d,Sinq Properties - STAAH
65d0f593a9f96d011aaf4d0e,Sinq Properties - STAAH
65d0f593a9f96d011aaf4d0f,Sinq Properties - STAAH
65d0f593a9f96d011aaf4d10,Sonesta Inn Pvt. Ltd./Hotel
65d0f593a9f96d011aaf4d11,Soul Vacation - STAAH (C)
65d0f593a9f96d011aaf4d12,Span Suites & Villas - STAAH
65d0f593a9f96d011aaf4d13,Spazio Leisure Resort -  STAAH (New)
65d0f593a9f96d011aaf4d14,Stonewoods Beach Resort & Spa - STAAH
65d0f593a9f96d011aaf4d15,Stone Woods Nature Resort - STAAH New
65d0f593a9f96d011aaf4d16,Stone Wood Riverfront Resort - STAAH
65d0f593a9f96d011aaf4d17,Stone Wood Resort & Spa - STAAH
65d0f593a9f96d011aaf4d18,Stonewood Village resort - STAAH
65d0f593a9f96d011aaf4d19,Sun City Resort - STAAH
65d0f593a9f96d011aaf4d1a,Sunset Beach Resort - STAAH
65d0f593a9f96d011aaf4d1b,TP Beach Resort (New) - STAAH
65d0f593a9f96d011aaf4d1c,Tangerine Boutique Resort - STAAH
65d0f593a9f96d011aaf4d1d,The Acacia Hotel & Spa Goa - STAAH
65d0f593a9f96d011aaf4d1e,The Acacia Morjim Oceanfront - STAAH
65d0f593a9f96d011aaf4d1f,The Baga Beach Resort - STAAH
65d0f593a9f96d011aaf4d20,The Crown - STAAH
65d0f593a9f96d011aaf4d21,The Flora Grand - STAAH New
65d0f593a9f96d011aaf4d22,The Flora Residency - STAAH New
65d0f593a9f96d011aaf4d23,The HQ - STAAH
65d0f593a9f96d011aaf4d24,The Ocean Park (New) - STAAH
65d0f593a9f96d011aaf4d25,The White Balcao - STAAH
65d0f593a9f96d011aaf4d26,Ultimate Stay - STAAH
65d0f593a9f96d011aaf4d27,Vacayom Homestay Hospitality - STAAH
65d0f593a9f96d011aaf4d28,Varanda Do Mar - STAAH
65d0f593a9f96d011aaf4d29,Vedic Resorts & Hotels Pvt. Ltd - STAAH
65d0f593a9f96d011aaf4d2a,Veera Strand Park Serviced Apartments - STAAH
65d0f593a9f96d011aaf4d2b,Villa De Orange - STAAH
65d0f593a9f96d011aaf4d2c,Viva Hotel -  STAAH
65d0f593a9f96d011aaf4d2d,Vivenda Rebelo - STAAH New
65d0f593a9f96d011aaf4d2e,Walom Grand Resort - STAAH
65d0f593a9f96d011aaf4d2f,Whispering Palms - STAAH
65d0f593a9f96d011aaf4d30,White Square Nirvana - STAAH
65d0f593a9f96d011aaf4d31,White Woods Resort & Spa - STAAH
65d0f593a9f96d011aaf4d32,Wood House Beach Resort - STAAH
65d0f593a9f96d011aaf4d33,YU Hotel - STAAH
65d0f593a9f96d011aaf4d34,Coquerial Holiday Homes - STAAH
65d0f593a9f96d011aaf4d35,Aurum Resort - STAAH
65d0f593a9f96d011aaf4d36,Montego Bay Beach Village - STAAH
65d0f593a9f96d011aaf4d37,Tanzanite Cottages - STAAH
65d0f593a9f96d011aaf4d38,Vaayu Kula - STAAH
65d0f593a9f96d011aaf4d39,Henry's Place - STAAH
65d0f593a9f96d011aaf4d3a,Hotel Bom Sucesso - STAAH
65d0f593a9f96d011aaf4d3b,Twin Fountain by Baywatch Express -STAAH
65d0f593a9f96d011aaf4d3c,Alaya Villas - STAAH
65d0f593a9f96d011aaf4d3d,Aurum Mussorie - STAAH
65d0f593a9f96d011aaf4d3e,Palmarinha De Goa - STAAH
65d0f593a9f96d011aaf4d3f,Coconut Grove - STAAH (New)
65d0f593a9f96d011aaf4d40,Rohit Holiday Homes - STAAH
65d0f593a9f96d011aaf4d41,Coastal Pearl - STAAH
65d0f593a9f96d011aaf4d42,Cabo Serai - STAAH
65d0f593a9f96d011aaf4d43,Aquamarine Holidays - STAAH
65d0f593a9f96d011aaf4d44,Skylight Royal Stay - STAAH
65d0f593a9f96d011aaf4d45,Goan Cafe Beach Resort - STAAH
65d0f593a9f96d011aaf4d46,Villa The Abode Goa -  STAAH
65d0f593a9f96d011aaf4d47,Nova Express De Mandarin - STAAH
65d0f593a9f96d011aaf4d48,Bis-Lin Homestay - STAAH
65d0f593a9f96d011aaf4d49,De Amour Holiday - STAAH
65d0f593a9f96d011aaf4d4a,Bella Villa - STAAH
65d0f593a9f96d011aaf4d4b,The Cresent - STAAH
65d0f593a9f96d011aaf4d4c,Vedana Retreat - STAAH
65d0f593a9f96d011aaf4d4d,Casa Amarela (New) - STAAH
65d0f593a9f96d011aaf4d4e,Sea View Holidays - STAAH
65d0f593a9f96d011aaf4d4f,Mademoiselle - STAAH New (Thunder LLP)
65d0f593a9f96d011aaf4d50,Artistry Suites - STAAH
65d0f593a9f96d011aaf4d51,Crystal Village - STAAH
65d0f593a9f96d011aaf4d52,Turtle Beach Resort - STAAH
65d0f593a9f96d011aaf4d53,The Sylvan Retreat - STAAH
65d0f593a9f96d011aaf4d54,Casa De Paz - STAAH
65d0f593a9f96d011aaf4d55,Tranquill Riverside Luxury Cottages - STAAH
65d0f593a9f96d011aaf4d56,La Station Hospitality - STAAH
65d0f593a9f96d011aaf4d57,Sukcheewa Residence Phuket - STAAH
65d0f593a9f96d011aaf4d58,Maan Vilas by Stonewoods - STAAH
65d0f593a9f96d011aaf4d59,Jeromes Holiday Inn - STAAH
65d0f593a9f96d011aaf4d5a,Eleven Hotels - STAAH
65d0f593a9f96d011aaf4d5b,Mangal Farmstay - STAAH
65d0f593a9f96d011aaf4d5c,Sukcheewa Residence Phuket - STAAH
65d0f593a9f96d011aaf4d5d,Hospedaria Abrige De Botelho - STAAH
65d0f593a9f96d011aaf4d5e,Athi Resort - STAAH
65d0f593a9f96d011aaf4d5f,Hotel Park Plaza - STAAH
65d0f593a9f96d011aaf4d60,Ultimate Stay - STAAH
65d0f593a9f96d011aaf4d61,Hdfc Bank
65d0f593a9f96d011aaf4d62,Tangerine Boutique Resort - STAAH
65d0f593a9f96d011aaf4d63,The Sylvan Retreat - STAAH
65d0f593a9f96d011aaf4d64,Nirvana Hill Resort - STAAH
65d0f593a9f96d011aaf4d65,Dhanishta Trust
65d0f593a9f96d011aaf4d66,Hdfc Credit Card 6963
65d0f593a9f96d011aaf4d67,Resort De Alturas - STAAH
65d0f593a9f96d011aaf4d68,Sun City Resort - STAAH
65d0f593a9f96d011aaf4d69,De Mandarin Bangalore - STAAH New
65d0f593a9f96d011aaf4d6a,Cabo Serai - STAAH
65d0f593a9f96d011aaf4d6b,Lighterature Productions (OPC) Pvt. Ltd.
65d0f593a9f96d011aaf4d6c,Fahrenheit Hotels and Resorts - STAAH
65d0f593a9f96d011aaf4d6d,HIBIS Hotels & Resorts - STAAH
65d0f593a9f96d011aaf4d6e,Beleza...by the Beach - STAAH
65d0f593a9f96d011aaf4d6f,Resort Rio I
65d0f593a9f96d011aaf4d70,Infiniti Module Pvt .Ltd (Domain)
65d0f593a9f96d011aaf4d71,Cash
65d0f593a9f96d011aaf4d72,Cash
65d0f593a9f96d011aaf4d73,Somy Resort Pvt Ltd
65d0f593a9f96d011aaf4d74,Corner Resorts Private Limited
65d0f593a9f96d011aaf4d75,Aqua World
65d0f593a9f96d011aaf4d76,Green Valley Beach Resort - STAAH
65d0f593a9f96d011aaf4d77,Staah Hotel Software Private Limited
65d0f593a9f96d011aaf4d78,Oswald De Melo
65d0f593a9f96d011aaf4d79,O Pierre - AMc
65d0f593a9f96d011aaf4d7a,Hdfc Credit Card 6963
65d0f593a9f96d011aaf4d7b,The Southern Deck
65d0f593a9f96d011aaf4d7c,Resort Rio I
65d0f593a9f96d011aaf4d7d,Hotel Vila Goesa
65d0f593a9f96d011aaf4d7e,Santiago Beach Resort (Era) - STAAH
65d0f593a9f96d011aaf4d7f,Vaayu Kula - STAAH
65d0f593a9f96d011aaf4d80,Mansionhaus - STAAH
65d0f593a9f96d011aaf4d81,La Cabana Beach & Spa - STAAH
65d0f593a9f96d011aaf4d82,Whispering Palms - STAAH
65d0f593a9f96d011aaf4d83,Maan Vilas by Stonewoods - STAAH
65d0f593a9f96d011aaf4d84,La Grace Resort - STAAH
65d0f593a9f96d011aaf4d85,Martins Siesta - STAAH
65d0f593a9f96d011aaf4d86,Hotel Rezo's - STAAH
65d0f593a9f96d011aaf4d87,TP Beach Resort (New) - STAAH
65d0f593a9f96d011aaf4d88,Aero Village - STAAH
65d0f593a9f96d011aaf4d89,Cash
65d0f593a9f96d011aaf4d8a,Chirag Thakkar
65d0f593a9f96d011aaf4d8b,Hdfc Credit Card 6963
65d0f593a9f96d011aaf4d8c,Hdfc Credit Card 6963
65d0f593a9f96d011aaf4d8d,Hdfc Credit Card 6963
65d0f593a9f96d011aaf4d8e,Hdfc Credit Card 6963
65d0f593a9f96d011aaf4d8f,Resort De Alturas (Domain)
65d0f593a9f96d011aaf4d90,Resort De Alturas (Domain)
65d0f593a9f96d011aaf4d91,Fahrenheit Hotels and Resorts - DG
65d0f593a9f96d011aaf4d92,Classic Squares Realty Pvt Ltd
65d0f593a9f96d011aaf4d93,Classic Squares Realty Pvt Ltd
65d0f593a9f96d011aaf4d94,Casa Ibrahim
65d0f593a9f96d011aaf4d95,Linc Property Developers Pvt Ltd (DG)
65d0f593a9f96d011aaf4d96,Linc Property Developers Pvt Ltd (DG)
65d0f593a9f96d011aaf4d97,Chances Casino Resort ( DG )
65d0f593a9f96d011aaf4d98,Sea Shell Hospitality
